author_type,floor,floors_count,rooms_count,total_meters,price,district,street,underground,coordinates_of_underground
developer,4,36,1,44.5,12464450.0,Ярославский,проспект Мира,Ростокино,"(55.839444, 37.667778)"
real_estate_agent,2,14,1,43.7,19990000.0,Лефортово,проезд Шелихова,Площадь Ильича,"(55.747115, 37.680726)"
real_estate_agent,7,30,1,36.6,21800000.0,Хорошево-Мневники,Шелепихинская набережная,Хорошёвская,"(55.776862, 37.520797)"
real_estate_agent,9,16,1,36.4,10500000.0,Южное Бутово,к2.1,Бунинская аллея,"(55.537977, 37.515899)"
real_estate_agent,9,26,1,48.8,29900000.0,Черемушки,Херсонская ,Зюзино,"(55.655717, 37.57369)"
real_estate_agent,19,22,1,43.0,19500000.0,Щукино,Большой Волоколамский проезд,Стрешнево,"(55.814204, 37.476699)"
real_estate_agent,11,34,1,46.4,19990000.0,Обручевский, Архитектора Власова,Воронцовская,"(55.658845, 37.539446)"
developer,6,15,1,47.17,19847061.0,Даниловский,Автозаводская ,Тульская,"(55.70961, 37.622569)"
real_estate_agent,18,22,1,43.0,20700000.0,Щукино,Большой Волоколамский проезд,Стрешнево,"(55.814204, 37.476699)"
developer,11,19,1,43.9,21475880.0,Савеловский,Старый Петровско-Разумовский проезд,Гражданская,"(55.805483, 37.553316)"
real_estate_agent,18,22,1,43.0,19500000.0,Щукино,Большой Волоколамский проезд,Стрешнево,"(55.814204, 37.476699)"
developer,6,17,1,42.5,20400000.0,Савеловский,Старый Петровско-Разумовский проезд,Гражданская,"(55.805483, 37.553316)"
real_estate_agent,15,22,1,41.0,9900000.0,Ново-Переделкино,Новопеределкинская ,Новопеределкино,"(55.6385, 37.3544)"
developer,12,15,1,49.3,17748000.0,Головинский,Михалковская ,Коптево,"(55.839637, 37.520037)"
real_estate_agent,7,40,1,43.4,22880000.0,Даниловский,бульвар Братьев Весниных,ЗИЛ,"(55.698333, 37.648333)"
developer,2,16,1,45.85,20711316.0,Даниловский,Автозаводская ,Тульская,"(55.70961, 37.622569)"
real_estate_agent,7,12,1,34.5,12500000.0,Щукино, Народного Ополчения,Октябрьское поле,"(55.793581, 37.493317)"
real_estate_agent,6,25,1,39.0,18700000.0,Обручевский, Академика Челомея,Воронцовская,"(55.658845, 37.539446)"
realtor,7,19,1,40.0,18400000.0,Покровское-Стрешнево,Волоколамское шоссе,Трикотажная,"(55.833137, 37.398967)"
real_estate_agent,5,27,1,36.2,16800000.0,Очаково-Матвеевское,Аминьевское шоссе,Аминьевская,"(55.697189, 37.464931)"
real_estate_agent,37,62,1,37.6,18500000.0,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,"(55.775697, 37.485071)"
developer,16,29,1,45.6,18734719.0,Южнопортовый,Волгоградский проспект,Дубровка,"(55.71807, 37.676259)"
realtor,11,23,1,38.0,14300000.0,Западное Дегунино,Дегунинская ,Моссельмаш,"(55.862222, 37.526389)"
real_estate_agent,8,9,1,29.8,11900000.0,Перово,2-я Владимирская ,Перово,"(55.75098, 37.78422)"
developer,21,21,1,56.5,30896100.0,Хорошевский, Зорге,Зорге,"(55.787778, 37.504444)"
real_estate_agent,18,32,1,51.0,26000000.0,Хорошевский,Хорошевское шоссе,Беговая,"(55.773505, 37.545518)"
real_estate_agent,11,12,1,61.3,38000000.0,Тверской,2-я Брестская ,Маяковская,"(55.769808, 37.596192)"
developer,8,23,1,47.4,20761200.0,Басманный, Фридриха Энгельса,Бауманская,"(55.772405, 37.67904)"
developer,13,28,1,43.63,24590000.0,Марфино, Академика Королева,Телецентр,"(55.821795, 37.608975)"
real_estate_agent,9,27,1,44.0,24000000.0,Хорошевский, Зорге,Полежаевская,"(55.777201, 37.517895)"
real_estate_agent,3,15,1,31.1,12630000.0,Хорошевский,Ходынский бульвар,ЦСКА,"(55.786602, 37.533301)"
real_estate_agent,2,14,1,34.9,10900000.0,Можайский, Кутузова,Рабочий посёлок,"(55.726918, 37.417877)"
developer,20,26,1,35.93,20760000.0,Марфино, Академика Королева,Телецентр,"(55.821795, 37.608975)"
real_estate_agent,33,36,1,40.1,19000000.0,Пресненский,Мукомольный проезд,Шелепиха,"(55.757116, 37.524067)"
developer,2,14,1,39.1,11890701.0,Рязанский,Рязанский проспект,Окская,"(55.718623, 37.781272)"
realtor,8,24,1,38.6,13750000.0,Метрогородок,Тагильская ,Бульвар Рокоссовского,"(55.814916, 37.732227)"
developer,18,46,1,45.3,32521263.0,Дорогомилово,Кутузовский проезд,Фили,"(55.746763, 37.514035)"
real_estate_agent,2,5,1,31.7,10800000.0,Кузьминки,Волгоградский проспект,Кузьминки,"(55.705493, 37.763295)"
real_estate_agent,40,41,1,43.8,20600000.0,Пресненский,Шмитовский проезд,Шелепиха,"(55.757116, 37.524067)"
developer,7,14,1,38.4,12284928.0,Рязанский,Рязанский проспект,Окская,"(55.718623, 37.781272)"
real_estate_agent,21,37,1,47.3,32000000.0,Беговой,Ленинградский проспект,Белорусская,"(55.777439, 37.582107)"
real_estate_agent,5,27,1,43.0,22000000.0,Хорошевский, Зорге,Полежаевская,"(55.777201, 37.517895)"
developer,12,30,1,41.4,19598968.0,Южнопортовый,Волгоградский проспект,Дубровка,"(55.71807, 37.676259)"
real_estate_agent,3,13,1,37.0,26000000.0,Хорошево-Мневники, Нижние Мневники,Терехово ,"(55.748108, 37.459738)"
