author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Sminex,developer,https://www.cian.ru/sale/flat/301347012/,Москва,sale,flat,13,26,1,31.04,-1,0,19680000,Марфино, Академика Королева,21,Телецентр,Дом Достижение
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301104856/,Москва,sale,flat,7,33,1,20.1,-1,0,9300000,Очаково-Матвеевское,,,Очаково,Новое Очаково ЖК
MR Group,developer,https://www.cian.ru/sale/flat/300575220/,Москва,sale,flat,10,29,1,24.6,-1,0,12307604,Южнопортовый,Волгоградский проспект,32/3к4,Волгоградский проспект,Метрополия
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/300003777/,Москва,sale,flat,6,21,1,25.7,-1,0,13500000,Аэропорт,Часовая ,,Красный Балтиец,SOUL
Level Group,developer,https://www.cian.ru/sale/flat/301667354/,Москва,sale,flat,11,64,1,19.1,-1,0,11371140,Хорошево-Мневники,,,Хорошёвская,Левел Звенигородская ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298169148/,Москва,sale,flat,50,54,1,24.1,-1,0,12400000,Бутырский,Огородный проезд,4С1,Бутырская,Upside Towers
MR Group,developer,https://www.cian.ru/sale/flat/294936856/,Москва,sale,flat,6,53,1,24.9,-1,0,12336485,Покровское-Стрешнево,Северо-Западный ао,,Трикотажная,Сити Бэй ЖК
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/298146944/,Москва,sale,flat,4,33,1,25.5,-1,0,8800000,Царицыно,,1.5,Кантемировская,Кавказский Бульвар 51 ЖК
MR Group,developer,https://www.cian.ru/sale/flat/295673735/,Москва,sale,flat,7,49,1,34.0,-1,0,13117907,Покровское-Стрешнево,Волоколамское шоссе,95/1к8,Трикотажная,City Bay
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299947479/,Москва,sale,flat,8,27,1,20.57,-1,0,9150000,Нижегородский,Юго-Восточный ао,,Нижегородская,Аквилон Бисайд ЖК
St Michael,developer,https://www.cian.ru/sale/flat/298001145/,Москва,sale,flat,15,21,-1,28.38,-1,0,14393100,Хорошевский,,,Полежаевская,Зорге 9 ЖК
ID 18468962,unknown,https://www.cian.ru/sale/flat/300331891/,Москва,sale,flat,1,5,-1,17.7,-1,0,3540000,Восточное Измайлово,Измайловский проспект,119,Первомайская,
VOS HOD,developer,https://www.cian.ru/sale/flat/300560422/,Москва,sale,flat,11,17,-1,45.3,-1,0,28783620,Филевский парк, Василисы Кожиной,вл25/1,Филёвский парк,AHEAD
ID 80985898,unknown,https://www.cian.ru/sale/flat/300334885/,Москва,sale,flat,1,5,-1,19.2,-1,0,3999000,Сокольники,Бабаевская ,1/8С1,Сокольники,
КОРТРОС,developer,https://www.cian.ru/sale/flat/300396956/,Москва,sale,flat,37,49,1,33.3,-1,0,16883100,Марьина роща,,,Марьина Роща,Тэйт ЖК
ID 18468962,unknown,https://www.cian.ru/sale/flat/300331438/,Москва,sale,flat,1,5,-1,16.1,-1,0,4500000,Сокольники,Бабаевская ,1/8С1,Сокольники,
FORMA,developer,https://www.cian.ru/sale/flat/298003529/,Москва,sale,flat,7,26,-1,32.09,-1,0,29176228,Пресненский,к2.2,к2.2,Белорусская,Репаблик ЖК
Виктор Долгорукий,realtor,https://www.cian.ru/sale/flat/301405300/,Москва,sale,flat,1,7,-1,14.6,-1,0,4500000,Южнопортовый,6-я Кожуховская ,24,Кожуховская,
St Michael,developer,https://www.cian.ru/sale/flat/298001328/,Москва,sale,flat,17,21,-1,26.84,-1,0,14236200,Хорошевский,,,Полежаевская,Зорге 9 ЖК
Александр Салагин,realtor,https://www.cian.ru/sale/flat/301052203/,Москва,sale,flat,1,5,1,14.8,-1,0,3550000,Головинский,Автомоторная ,4АС21,Лихоборы,
Аеон-Девелопмент,developer,https://www.cian.ru/sale/flat/301173755/,Москва,sale,flat,5,46,1,37.7,-1,0,35203349,Фили-Давыдково,проспект Багратиона,,Фили,River Park Кутузовский
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300693538/,Москва,sale,flat,6,33,1,22.0,-1,0,9499000,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная,Мичуринский парк
Аеон-Девелопмент,developer,https://www.cian.ru/sale/flat/301173746/,Москва,sale,flat,3,46,1,36.8,-1,0,29163331,Фили-Давыдково,проспект Багратиона,,Фили,River Park Кутузовский
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/301296266/,Москва,sale,flat,12,31,1,22.0,-1,0,9200000,Богородское,Тюменский проезд,3к1,Бульвар Рокоссовского,Преображение
ЛСР,developer,https://www.cian.ru/sale/flat/294534473/,Москва,sale,flat,34,58,1,22.7,-1,0,13767504,Коньково,40-й кв-л,к1,Калужская,Обручева 30 ЖК
Виктор Долгорукий,realtor,https://www.cian.ru/sale/flat/296190846/,Москва,sale,flat,3,3,-1,18.9,-1,0,5670000,Басманный,Большая Почтовая ,38С6,Электрозаводская,
ЛСР,developer,https://www.cian.ru/sale/flat/297473906/,Москва,sale,flat,10,30,1,21.8,-1,0,10712040,Москворечье-Сабурово,,,Борисово,Вэйв ЖК
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301196490/,Москва,sale,flat,2,7,1,17.3,-1,0,11550000,Тверской,Новослободская ,14/19С1,Новослободская,
А101,developer,https://www.cian.ru/sale/flat/296397561/,Москва,sale,flat,7,10,1,23.8,-1,0,6348388,,,1.1,Толстопальцево,Родные кварталы ЖК
ID 80985898,unknown,https://www.cian.ru/sale/flat/300336568/,Москва,sale,flat,1,5,-1,19.8,-1,0,3960000,Восточное Измайлово,Измайловский проспект,119,Первомайская,
