author_type,floor,floors_count,rooms_count,total_meters,price,district,street,underground,lons,lats
Риэлтор,8,24,1,38.6,13.75,Метрогородок,Тагильская ,Бульвар Рокоссовского,37.732227,55.814916
Застройщик,18,46,1,45.3,32.52,Дорогомилово,Кутузовский проезд,Фили,37.514035,55.746763
Агент по недвижимости,2,5,1,31.7,10.8,Кузьминки,Волгоградский проспект,Кузьминки,37.763295,55.705493
Агент по недвижимости,40,41,1,43.8,20.6,Пресненский,Шмитовский проезд,Шелепиха,37.524067,55.757116
Застройщик,7,14,1,38.4,12.28,Рязанский,Рязанский проспект,Окская,37.781272,55.718623
Агент по недвижимости,21,37,1,47.3,32.0,Беговой,Ленинградский проспект,Белорусская,37.582107,55.777439
Агент по недвижимости,5,27,1,43.0,22.0,Хорошевский, Зорге,Полежаевская,37.517895,55.777201
Застройщик,12,30,1,41.4,19.6,Южнопортовый,Волгоградский проспект,Дубровка,37.676259,55.71807
Агент по недвижимости,3,13,1,37.0,26.0,Хорошево-Мневники, Нижние Мневники,Терехово ,37.459738,55.748108
Агент по недвижимости,2,6,1,9.6,3.09,Северное Измайлово,Сиреневый бульвар,Щёлковская,37.798261,55.809962
Застройщик,24,48,1,35.3,15.43,Покровское-Стрешнево,Вишневая ,Тушинская,37.437024,55.825479
Агент по недвижимости,2,12,1,35.8,11.5,Академический, Винокурова,Академическая,37.5723,55.687147
Застройщик,21,27,1,38.2,16.69,Щукино, Берзарина,Щукинская,37.463241,55.8094
Риэлтор,5,12,1,35.0,14.49,Войковский,3-я Радиаторская ,Войковская,37.497791,55.818923
Застройщик,10,37,1,43.0,22.49,Останкинский, Годовикова,Алексеевская,37.638699,55.807794
Риэлтор,4,5,1,20.0,5.0,Марфино,Гостиничная ,Окружная,37.575531,55.844748
Риэлтор,9,9,1,35.5,13.79,Кунцево,Молдавская ,Кунцевская,37.445985,55.728707
Агент по недвижимости,6,9,1,32.6,9.7,Ховрино,Клинская ,Грачёвская,37.509167,55.869444
Застройщик,4,21,1,53.7,29.69,Беговой, 1-я Ямского Поля,Белорусская,37.582107,55.777439
Агент по недвижимости,1,14,1,24.1,5.88,Солнцево,Боровский проезд,Солнечная,37.383611,55.656944
Титулованный застройщик,21,25,1,59.6,24.42,Покровское-Стрешнево,бульвар Небесный,Тушинская,37.437024,55.825479
Агент по недвижимости,1,5,1,21.0,5.5,Пресненский,Новопресненский переулок,Краснопресненская,37.577114,55.760378
Застройщик,20,20,1,39.9,23.39,Аэропорт,Часовая ,Сокол,37.515245,55.805564
Агент по недвижимости,4,17,1,39.0,12.1,Зюзино,Симферопольский бульвар,Севастопольская,37.59809,55.651451
Агент по недвижимости,10,14,1,41.0,10.5,Зябликово,Кустанайская ,Красногвардейская,37.742697,55.614075
Застройщик,7,8,1,49.5,36.68,Гагаринский,м. Ленинский проспект,Ленинский проспект,37.58499,55.70678
Агент по недвижимости,13,17,1,37.6,14.5,Обручевский, Наметкина,Новые Черёмушки,37.554493,55.670077
Застройщик,11,14,1,49.3,33.04,Раменки,проспект Генерала Дорохова,Минская,37.497872,55.723947
Риэлтор,2,16,1,37.8,13.3,Марьино, Маршала Голованова,Марьино,37.743844,55.649158
